z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.0125,1.34080448014,52.7356415889,300.0,1.1339786438106827,-2.24044355081e-17,-6.34947094008e-27,1.0933587943e-15,0.194741966894,6.41342390554e-19,-3.05401585726e-16,-3.41043312603e-16,-9.8358269905e-17,-2.27222927386e-55,-6.43409446098e-44,-5.67654354677e-31,-2.37450570416e-38,-8.23374916799e-16,0.0730282375852,-1.22332151281e-16,3.49391536887e-18,3.69408804906e-32,5.31644863293e-16,2.21858895916e-32,-3.94622177899e-26,2.3859194444e-16,-2.35660586252e-61,-5.73758078117e-18,1.37286384037e-43,1.96410389802e-16,4.20879036246e-25,-3.34959448761e-17,-1.18375755585e-45,-9.61272886348e-17,-1.51712872637e-19,6.50893596608e-17,1.48039271491e-28,5.8944566072e-18,-4.93995254131e-18,-3.4809251219e-37,2.96180276045e-16,-1.57304291273e-17,-5.11677412518e-18,9.34462359767e-17,2.15154628949e-40,7.86832025309e-17,2.01411157971e-17,-4.83578341344e-44,7.13293156021e-21,8.23181903016e-22,-1.32731516708e-17,1.1106084978e-16,0.732229795521,0.0,4.40859363512e-19,-4.3044759792e-17,5.40427891285e-30,6.84273167605e-17
0.013125,1.27323693935,55.3724236683,300.0,1.1339786438106827,-1.7298140123e-17,1.64604647624e-25,1.09923615004e-15,0.194741966894,6.44966929435e-19,-3.00790501748e-16,-3.40391339001e-16,-9.86833737533e-17,-1.87652406205e-55,4.67101313094e-44,-4.76408991061e-31,-1.99286545262e-38,-8.14149175433e-16,0.0730282375852,-1.22332151355e-16,3.49391538591e-18,3.70274747869e-32,5.3164486748e-16,2.21847972947e-32,-3.62401319191e-26,2.3859194432e-16,-2.38017229837e-61,-5.73758074323e-18,4.82680100012e-43,1.96410393322e-16,4.21408745173e-25,-3.34959533669e-17,-9.46232781186e-45,-9.61272886535e-17,-1.51712872556e-19,5.45908442578e-17,1.48708638654e-28,5.89445667545e-18,-4.93995251982e-18,2.25368825026e-35,3.06690124585e-16,-1.57304291206e-17,-5.11677412193e-18,9.34450061436e-17,2.16886225569e-40,7.86832026904e-17,2.01411158725e-17,3.20472591026e-44,7.1329315555e-21,8.23181902698e-22,-1.32731516781e-17,1.1106084971e-16,0.732229795521,0.0,4.40857647659e-19,-4.30447595948e-17,5.41694699267e-30,6.84273167851e-17
0.0134375,1.23821717736,56.6908147081,300.0,1.1339786438106825,4.75969812746e-18,1.17231573355e-28,1.10175610168e-15,0.194741966894,6.46527568985e-19,-2.98412388229e-16,-3.40057320989e-16,-9.88500637481e-17,-1.69542990153e-55,1.47648475279e-45,-4.33780104094e-31,-1.81456578236e-38,-8.09391432953e-16,0.0730282375852,-1.22332151451e-16,3.49391540023e-18,3.7060459662e-32,5.31644870551e-16,2.21798721234e-32,-3.45371960214e-26,2.38591944208e-16,-2.51806784284e-61,-5.73758070875e-18,7.31390805058e-44,1.96410395717e-16,4.21602012221e-25,-3.34959583547e-17,-1.33029944642e-47,-9.61272886721e-17,-1.51712872477e-19,4.96864765101e-17,1.48724488476e-28,5.89445676144e-18,-4.93995250053e-18,1.23500233306e-38,3.11602261827e-16,-1.57304291136e-17,-5.11677412183e-18,9.34443736281e-17,2.17649955645e-40,7.8683202814e-17,2.01411159685e-17,9.63684013226e-47,7.13293155044e-21,8.23181902356e-22,-1.32731516859e-17,1.11060849666e-16,0.732229795521,0.0,4.40856920475e-19,-4.30447594093e-17,5.42177240415e-30,6.84273168109e-17
0.01375,1.20237342097,58.0092057478,300.0,1.1339786438106823,1.36067839281e-16,2.26328741777e-29,1.10387909101e-15,0.194741966894,6.47849720903e-19,-2.95958042253e-16,-3.39714463161e-16,-9.90211640318e-17,-1.52827755025e-55,-1.84945840943e-47,-3.93935931176e-31,-1.64791227598e-38,-8.04481468243e-16,0.0730282375852,-1.22332151551e-16,3.49391541506e-18,3.70835887601e-32,5.31644873717e-16,2.21707175242e-32,-3.27365699797e-26,2.38591944093e-16,-2.56346023225e-61,-5.73758067324e-18,7.26863721207e-44,1.96410398183e-16,4.21727466211e-25,-3.34959643619e-17,-3.14423732869e-49,-9.61272886911e-17,-1.51712872395e-19,4.51029222301e-17,1.48685245586e-28,5.89445685002e-18,-4.93995248066e-18,2.59305328374e-39,3.16193464847e-16,-1.57304291064e-17,-5.11677412168e-18,9.34437221707e-17,2.18317291535e-40,7.86832029415e-17,2.0141116068e-17,-7.5709751505e-48,7.13293154523e-21,8.23181902005e-22,-1.3273151694e-17,1.11060849621e-16,0.732229795521,0.0,4.40856171624e-19,-4.30447592182e-17,5.42515596946e-30,6.84273168374e-17
0.0140625,1.16570567018,59.3275967875,300.0,1.1339786438106811,8.98905855486e-16,2.2994168603e-29,1.10561485603e-15,0.194741966894,6.48939372076e-19,-2.93421846327e-16,-3.39362003468e-16,-9.91970546452e-17,-1.37411209071e-55,1.11576709753e-47,-3.56742407987e-31,-1.49234432656e-38,-7.99408041337e-16,0.0730282375852,-1.2233215165e-16,3.49391543046e-18,3.7097029569e-32,5.31644876987e-16,2.21573542312e-32,-3.08319575521e-26,2.38591943974e-16,-2.60532017973e-61,-5.7375806366e-18,7.25876627821e-44,1.96410400728e-16,4.21786977109e-25,-3.34959715605e-17,-4.03976509043e-49,-9.61272887108e-17,-1.5171287231e-19,4.08247787876e-17,1.48614186501e-28,5.89445694144e-18,-4.93995246015e-18,2.63566552967e-39,3.20479152115e-16,-1.57304290989e-17,-5.11677412148e-18,9.3443050121e-17,2.18890995617e-40,7.86832030732e-17,2.01411161713e-17,1.96006091486e-48,7.13293153985e-21,8.23181901642e-22,-1.32731517023e-17,1.11060849573e-16,0.732229795521,0.0,4.40855399415e-19,-4.30447590211e-17,5.42712219114e-30,6.84273168647e-17
0.014375,1.12821392499,60.6459878273,300.0,1.1339786438106767,5.21874592726e-15,2.68217734735e-29,1.10697161386e-15,0.194741966894,6.49801592643e-19,-2.90797424489e-16,-3.38999085424e-16,-9.93781619944e-17,-1.2320535549e-55,5.38581610218e-48,-3.22072073885e-31,-1.3473289461e-38,-7.94158401676e-16,0.0730282375852,-1.22332151692e-16,3.49391544655e-18,3.71009037825e-32,5.3164488037e-16,2.21397813963e-32,-2.88168098151e-26,2.38591943851e-16,-2.64380312566e-61,-5.73758059874e-18,7.24714266555e-44,1.96410403357e-16,4.21781898082e-25,-3.34959801555e-17,-5.04662220256e-49,-9.61272887312e-17,-1.51712872223e-19,3.68374016144e-17,1.48513408543e-28,5.89445703613e-18,-4.93995243897e-18,3.08146779303e-39,3.24473984302e-16,-1.57304290912e-17,-5.11677412123e-18,9.34423556203e-17,2.19373485859e-40,7.86832032093e-17,2.01411162787e-17,3.38131000165e-48,7.1329315343e-21,8.23181901266e-22,-1.32731517109e-17,1.11060849525e-16,0.732229795521,0.0,4.40854601937e-19,-4.30447588174e-17,5.42768887202e-30,6.8427316893e-17
0.0146875,1.08989818539,61.964378867,300.0,1.1339786438106518,2.90335304594e-14,1.84697994266e-26,1.10795597228e-15,0.194741966894,6.50440493044e-19,-2.88077471962e-16,-3.3862471418e-16,-9.95649669688e-17,-1.10129024033e-55,1.19003609904e-47,-2.89803685884e-31,-1.21235915176e-38,-7.88718028607e-16,0.0730282375852,-1.22332150648e-16,3.49391546536e-18,3.70952870728e-32,5.31644883877e-16,2.21179744988e-32,-2.66839391844e-26,2.38591943723e-16,-2.67904550696e-61,-5.73758055954e-18,7.23373192484e-44,1.9641040608e-16,4.2171321035e-25,-3.34959903917e-17,-5.00558057797e-49,-9.61272887522e-17,-1.51712872133e-19,3.31268606389e-17,1.48382983692e-28,5.89445713634e-18,-4.93995241703e-18,1.24225119541e-35,3.28191908017e-16,-1.57304290833e-17,-5.11677412093e-18,9.34416365645e-17,2.19766820445e-40,7.86832033503e-17,2.01411163905e-17,1.44410723414e-48,7.13293152855e-21,8.23181900878e-22,-1.32731517198e-17,1.11060849474e-16,0.732229795521,0.0,4.4085377702e-19,-4.30447586065e-17,5.42686708223e-30,6.84273169223e-17
0.015,1.0507584514,63.2827699067,300.0,1.1339786438105175,1.56671766769e-13,9.53709313659e-27,1.10857280752e-15,0.194741966894,6.50859154802e-19,-2.85252951706e-16,-3.3823784925e-16,-9.9758014853e-17,-9.81072677755e-56,4.30110228726e-44,-2.59821862061e-31,-1.08695247546e-38,-7.8307031108e-16,0.0730282375852,-1.22332130699e-16,3.49391553165e-18,3.70802048027e-32,5.31644887523e-16,2.20918825285e-32,-2.44252965236e-26,2.38591943591e-16,-2.74468048858e-61,-5.73758051881e-18,6.56746513089e-44,1.96410408904e-16,4.21581550884e-25,-3.34960025639e-17,2.50646192105e-45,-9.6127288774e-17,-1.51712872039e-19,2.96798993231e-17,1.48222644298e-28,5.89445726402e-18,-4.93995239425e-18,-1.91648796451e-36,3.31646196979e-16,-1.5730429075e-17,-5.11677412059e-18,9.3440890558e-17,2.20072675478e-40,7.86832034968e-17,2.01411165071e-17,5.1009874078e-44,7.13293152259e-21,8.23181900475e-22,-1.3273151729e-17,1.11060849422e-16,0.732229795521,0.0,4.40852922193e-19,-4.30447583877e-17,5.42466053215e-30,6.84273169526e-17
0.0153125,1.01079472301,64.6011609465,300.0,1.13397864380982,8.20781390415e-13,-3.45725790827e-26,1.1088250996e-15,0.194741966894,6.5105953486e-19,-2.8230304557e-16,-3.37837297889e-16,-9.99579257163e-17,-8.70708152199e-56,5.53076978205e-44,-2.32016745783e-31,-9.70649560809e-39,-7.77196148569e-16,0.0730282375851,-1.22331793746e-16,3.49391661365e-18,3.7055625582e-32,5.31644891397e-16,2.20614243302e-32,-2.20317857172e-26,2.3859194346e-16,-2.70168423888e-61,-5.73758047509e-18,1.71602180701e-43,1.9641041186e-16,4.21387158518e-25,-3.34960170218e-17,2.3663639198e-46,-9.61272887966e-17,-1.51712871941e-19,2.6483896093e-17,1.48031916976e-28,5.89445765057e-18,-4.93995237023e-18,-4.48442294548e-36,3.34849490833e-16,-1.57304290655e-17,-5.11677412018e-18,9.34401148563e-17,2.20292314089e-40,7.86832036491e-17,2.01411166289e-17,4.21527840128e-44,7.13293151672e-21,8.23181900059e-22,-1.32731517386e-17,1.11060849367e-16,0.73222979552,0.0,4.40852034622e-19,-4.30447581602e-17,5.42106462834e-30,6.84273169842e-17
0.015625,0.970007000222,65.9195519862,300.0,1.1339786438063022,4.17002287109e-12,3.92247303835e-26,1.10871371638e-15,0.194741966893,6.51042339382e-19,-2.79049588893e-16,-3.37421372608e-16,-1.0016537708e-16,-7.69555710221e-56,1.74180235957e-48,-2.06283689078e-31,-8.63012840499e-39,-7.71073446661e-16,0.0730282375849,-1.22326333132e-16,3.49393891641e-18,3.70214544562e-32,5.31644897096e-16,2.20264839046e-32,-1.94930362723e-26,2.38591943452e-16,-2.76648477562e-61,-5.73758040237e-18,7.18318243727e-44,1.9641041534e-16,4.21129918073e-25,-3.3496034023e-17,-4.55562629609e-49,-9.61272888188e-17,-1.51712871839e-19,2.35268279699e-17,1.47810159229e-28,5.89446067925e-18,-4.93995234018e-18,2.08081463597e-36,3.37813831875e-16,-1.57304290406e-17,-5.11677411965e-18,9.34393062936e-17,2.20426545499e-40,7.86832038079e-17,2.01411167565e-17,2.59350699413e-48,7.13293151728e-21,8.23181899697e-22,-1.32731517485e-17,1.1106084931e-16,0.732229795518,0.0,4.40851111042e-19,-4.30447579229e-17,5.41606548035e-30,6.84273170174e-17
